Cases,Axial Pitch,Minor Rad,Coil Radius,n Turn,Velocity,Hydrogen
90,20,2,12.5,8,5,528.4045134
91,20,2,12.5,9,1.5,504.9860833
92,20,2,12.5,9,2.375,500.6437535
93,20,2,12.5,9,3.25,498.7786011
94,20,2,12.5,9,4.125,495.0829222
95,20,2,12.5,9,5,493.7366593
96,20,2,12.5,10,1.5,468.7638758
97,20,2,12.5,10,2.375,463.8794014
98,20,2,12.5,10,3.25,464.9478958
99,20,2,12.5,10,4.125,461.1996544
100,20,2,12.5,10,5,461.7301489
101,20,2,15,1,1.5,957.4542558
102,20,2,15,1,2.375,940.5514167
103,20,2,15,1,3.25,934.4395709
104,20,2,15,1,4.125,929.9036023
105,20,2,15,1,5,926.6789752
106,20,2,15,2,1.5,883.680366
107,20,2,15,2,2.375,866.1629337
108,20,2,15,2,3.25,862.7983455
109,20,2,15,2,4.125,863.3537711
110,20,2,15,2,5,857.278595
111,20,2,15,3,1.5,816.3923076
112,20,2,15,3,2.375,806.2277297
113,20,2,15,3,3.25,800.4508284
114,20,2,15,3,4.125,799.1452854
115,20,2,15,3,5,795.0328092
116,20,2,15,4,1.5,747.9975369
117,20,2,15,4,2.375,739.7428564
118,20,2,15,4,3.25,736.1198535
119,20,2,15,4,4.125,733.3823298
120,20,2,15,4,5,725.3273563
121,20,2,15,5,1.5,680.1622696
122,20,2,15,5,2.375,676.9983665
123,20,2,15,5,3.25,667.8107844
124,20,2,15,5,4.125,670.8353487
125,20,2,15,5,5,669.4067905
126,20,2,15,6,1.5,626.5226982
127,20,2,15,6,2.375,615.0168517
128,20,2,15,6,3.25,612.3226853
129,20,2,15,6,4.125,612.4634198
130,20,2,15,6,5,605.7697606
131,20,2,15,7,1.5,585.1188081
132,20,2,15,7,2.375,578.3356293
133,20,2,15,7,3.25,576.2516979
134,20,2,15,7,4.125,574.3415753
135,20,2,15,7,5,576.1444462
136,20,2,15,8,1.5,552.3848266
137,20,2,15,8,2.375,544.2717431
138,20,2,15,8,3.25,544.01517
139,20,2,15,8,4.125,539.2359488
140,20,2,15,8,5,537.8967311
141,20,2,15,9,1.5,513.6827085
142,20,2,15,9,2.375,504.990818
143,20,2,15,9,3.25,501.4923744
144,20,2,15,9,4.125,500.3790392
145,20,2,15,9,5,498.8000135
146,20,2,15,10,1.5,471.8960516
147,20,2,15,10,2.375,466.828164
148,20,2,15,10,3.25,464.4447471
149,20,2,15,10,4.125,463.5555701
150,20,2,15,10,5,462.6632227
151,20,4,10,1,1.5,745.3392251
152,20,4,10,1,2.375,741.0843828
153,20,4,10,1,3.25,737.8996788
154,20,4,10,1,4.125,737.0971368
155,20,4,10,1,5,736.230992
156,20,4,10,2,1.5,698.2417411
157,20,4,10,2,2.375,692.9608864
158,20,4,10,2,3.25,693.0983592
159,20,4,10,2,4.125,692.0772987
160,20,4,10,2,5,692.4737889
161,20,4,10,3,1.5,650.9017774
162,20,4,10,3,2.375,642.1808199
163,20,4,10,3,3.25,645.7222154
164,20,4,10,3,4.125,644.6031269
165,20,4,10,3,5,645.6397569
166,20,4,10,4,1.5,604.4572872
167,20,4,10,4,2.375,599.7960779
168,20,4,10,4,3.25,594.8801338
169,20,4,10,4,4.125,596.186524
170,20,4,10,4,5,589.525356
171,20,4,10,5,1.5,546.1161251
172,20,4,10,5,2.375,544.1269078
173,20,4,10,5,3.25,540.3202524
174,20,4,10,5,4.125,541.957686
175,20,4,10,5,5,540.1686954
176,20,4,10,6,1.5,502.8796297
177,20,4,10,6,2.375,501.4193817
178,20,4,10,6,3.25,496.1537759
179,20,4,10,6,4.125,500.0435947
180,20,4,10,6,5,499.4413307
181,20,4,10,7,1.5,478.9797668
182,20,4,10,7,2.375,477.646175
183,20,4,10,7,3.25,472.0364718
184,20,4,10,7,4.125,471.3140861
185,20,4,10,7,5,474.3828647
186,20,4,10,8,1.5,456.2657704
187,20,4,10,8,2.375,449.3650069
188,20,4,10,8,3.25,451.6931025
189,20,4,10,8,4.125,451.975809
190,20,4,10,8,5,448.5258157
191,20,4,10,9,1.5,423.0148227
192,20,4,10,9,2.375,421.5079497
193,20,4,10,9,3.25,420.6323448
194,20,4,10,9,4.125,420.2429105
195,20,4,10,9,5,417.3914201
196,20,4,10,10,1.5,392.8417399
197,20,4,10,10,2.375,393.524621
198,20,4,10,10,3.25,392.8292525
199,20,4,10,10,4.125,392.5579489
200,20,4,10,10,5,391.1503414
201,20,4,12.5,1,1.5,750.6155352
202,20,4,12.5,1,2.375,746.5558068
203,20,4,12.5,1,3.25,742.8844005
204,20,4,12.5,1,4.125,741.053953
205,20,4,12.5,1,5,737.7783637
206,20,4,12.5,2,1.5,703.3173863
207,20,4,12.5,2,2.375,701.7722159
208,20,4,12.5,2,3.25,693.9117383
209,20,4,12.5,2,4.125,692.1094856
210,20,4,12.5,2,5,693.3450379
211,20,4,12.5,3,1.5,660.0228626
212,20,4,12.5,3,2.375,654.494139
213,20,4,12.5,3,3.25,655.9356393
214,20,4,12.5,3,4.125,648.6634289
215,20,4,12.5,3,5,647.7158764
216,20,4,12.5,4,1.5,606.8619478
217,20,4,12.5,4,2.375,605.1234439
218,20,4,12.5,4,3.25,598.0834098
219,20,4,12.5,4,4.125,600.8919787
220,20,4,12.5,4,5,599.9978586
221,20,4,12.5,5,1.5,550.827183
222,20,4,12.5,5,2.375,543.3636326
223,20,4,12.5,5,3.25,541.907133
224,20,4,12.5,5,4.125,538.5578829
225,20,4,12.5,5,5,542.3470539
226,20,4,12.5,6,1.5,492.4225528
227,20,4,12.5,6,2.375,488.3371223
228,20,4,12.5,6,3.25,486.992807
229,20,4,12.5,6,4.125,486.2573758
230,20,4,12.5,6,5,485.7594403
231,20,4,12.5,7,1.5,459.9169618
232,20,4,12.5,7,2.375,453.8037258
233,20,4,12.5,7,3.25,451.5474246
234,20,4,12.5,7,4.125,450.6022544
235,20,4,12.5,7,5,451.1392764
236,20,4,12.5,8,1.5,422.8392964
237,20,4,12.5,8,2.375,420.9999935
238,20,4,12.5,8,3.25,419.407007
239,20,4,12.5,8,4.125,418.7328194
240,20,4,12.5,8,5,423.5938307
241,20,4,12.5,9,1.5,385.7056709
242,20,4,12.5,9,2.375,380.9401517
243,20,4,12.5,9,3.25,384.0517759
244,20,4,12.5,9,4.125,383.3752715
245,20,4,12.5,9,5,381.6387413
246,20,4,12.5,10,1.5,350.7229313
247,20,4,12.5,10,2.375,349.4301099
248,20,4,12.5,10,3.25,348.6163536
249,20,4,12.5,10,4.125,348.190716
250,20,4,12.5,10,5,347.4923609
251,20,4,15,1,1.5,739.756782
252,20,4,15,1,2.375,735.3243344
253,20,4,15,1,3.25,737.0682975
254,20,4,15,1,4.125,732.180334
255,20,4,15,1,5,733.8334946
256,20,4,15,2,1.5,712.8058274
257,20,4,15,2,2.375,706.7200647
258,20,4,15,2,3.25,706.8632319
259,20,4,15,2,4.125,704.9035589
260,20,4,15,2,5,703.8577976
261,20,4,15,3,1.5,670.469352
262,20,4,15,3,2.375,664.7034355
263,20,4,15,3,3.25,663.2142115
264,20,4,15,3,4.125,661.788242
265,20,4,15,3,5,656.0614631
266,20,4,15,4,1.5,627.5756232
267,20,4,15,4,2.375,619.1479305
268,20,4,15,4,3.25,615.1544314
269,20,4,15,4,4.125,620.6917897
270,20,4,15,4,5,620.1818996
271,20,4,15,5,1.5,576.3142824
272,20,4,15,5,2.375,570.21624
273,20,4,15,5,3.25,568.8535592
274,20,4,15,5,4.125,568.1443751
275,20,4,15,5,5,567.6819207
276,20,4,15,6,1.5,532.4549736
277,20,4,15,6,2.375,529.7486754
278,20,4,15,6,3.25,535.2217655
279,20,4,15,6,4.125,527.7432726
280,20,4,15,6,5,533.7370915
281,20,4,15,7,1.5,517.1537312
282,20,4,15,7,2.375,513.7734038
283,20,4,15,7,3.25,512.2628323
284,20,4,15,7,4.125,511.391415
285,20,4,15,7,5,510.8473406
286,20,4,15,8,1.5,478.0979794
287,20,4,15,8,2.375,475.7185006
288,20,4,15,8,3.25,474.3065019
289,20,4,15,8,4.125,474.5851877
290,20,4,15,8,5,473.6739706
291,20,4,15,9,1.5,435.0822158
292,20,4,15,9,2.375,435.0318247
293,20,4,15,9,3.25,434.0400768
294,20,4,15,9,4.125,435.1001028
295,20,4,15,9,5,434.7261276
296,20,4,15,10,1.5,389.3783507
297,20,4,15,10,2.375,391.9356797
298,20,4,15,10,3.25,385.2885918
299,20,4,15,10,4.125,385.9625962
300,20,4,15,10,5,386.3563976
301,24.44444444,2,10,1,1.5,960.401281
302,24.44444444,2,10,1,2.375,949.0212585
303,24.44444444,2,10,1,3.25,939.5547801
304,24.44444444,2,10,1,4.125,932.926352
305,24.44444444,2,10,1,5,931.7641517
306,24.44444444,2,10,2,1.5,884.5426705
307,24.44444444,2,10,2,2.375,874.749137
308,24.44444444,2,10,2,3.25,868.8963585
309,24.44444444,2,10,2,4.125,865.9413873
310,24.44444444,2,10,2,5,864.2010371
311,24.44444444,2,10,3,1.5,820.2177637
312,24.44444444,2,10,3,2.375,809.4667475
313,24.44444444,2,10,3,3.25,807.2742265
314,24.44444444,2,10,3,4.125,801.9605701
315,24.44444444,2,10,3,5,800.2563705
316,24.44444444,2,10,4,1.5,759.7912441
317,24.44444444,2,10,4,2.375,754.3118871
318,24.44444444,2,10,4,3.25,747.8168237
319,24.44444444,2,10,4,4.125,745.687877
320,24.44444444,2,10,4,5,745.2181459
321,24.44444444,2,10,5,1.5,708.7833483
322,24.44444444,2,10,5,2.375,699.1271712
323,24.44444444,2,10,5,3.25,699.94444
324,24.44444444,2,10,5,4.125,696.7865372
325,24.44444444,2,10,5,5,695.6962887
326,24.44444444,2,10,6,1.5,677.7004897
327,24.44444444,2,10,6,2.375,672.0900332
328,24.44444444,2,10,6,3.25,669.50857
329,24.44444444,2,10,6,4.125,667.9531875
330,24.44444444,2,10,6,5,667.6246242
331,24.44444444,2,10,7,1.5,639.150155
332,24.44444444,2,10,7,2.375,636.9447707
333,24.44444444,2,10,7,3.25,634.5666327
334,24.44444444,2,10,7,4.125,635.6842799
335,24.44444444,2,10,7,5,634.8458992
336,24.44444444,2,10,8,1.5,605.2199558
337,24.44444444,2,10,8,2.375,601.0998983
338,24.44444444,2,10,8,3.25,599.1853341
339,24.44444444,2,10,8,4.125,598.0806214
340,24.44444444,2,10,8,5,597.3594987
341,24.44444444,2,10,9,1.5,574.6496376
342,24.44444444,2,10,9,2.375,571.3149477
343,24.44444444,2,10,9,3.25,569.7990417
344,24.44444444,2,10,9,4.125,568.8087353
345,24.44444444,2,10,9,5,568.1253672
346,24.44444444,2,10,10,1.5,547.6936561
347,24.44444444,2,10,10,2.375,544.0429736
348,24.44444444,2,10,10,3.25,540.1104371
349,24.44444444,2,10,10,4.125,538.3676195
350,24.44444444,2,10,10,5,539.8847519
351,24.44444444,2,12.5,1,1.5,954.2497215
352,24.44444444,2,12.5,1,2.375,939.6961942
353,24.44444444,2,12.5,1,3.25,929.2225738
354,24.44444444,2,12.5,1,4.125,924.6190466
355,24.44444444,2,12.5,1,5,922.9234823
356,24.44444444,2,12.5,2,1.5,875.1262004
357,24.44444444,2,12.5,2,2.375,863.0390193
358,24.44444444,2,12.5,2,3.25,856.1753808
359,24.44444444,2,12.5,2,4.125,852.6527362
360,24.44444444,2,12.5,2,5,853.2713614
361,24.44444444,2,12.5,3,1.5,802.175496
362,24.44444444,2,12.5,3,2.375,789.3695743
363,24.44444444,2,12.5,3,3.25,783.3172549
364,24.44444444,2,12.5,3,4.125,780.5731254
365,24.44444444,2,12.5,3,5,782.7471644
366,24.44444444,2,12.5,4,1.5,732.0637963
367,24.44444444,2,12.5,4,2.375,723.2375926
368,24.44444444,2,12.5,4,3.25,722.262793
369,24.44444444,2,12.5,4,4.125,716.8554196
370,24.44444444,2,12.5,4,5,718.9993864
371,24.44444444,2,12.5,5,1.5,673.61671
372,24.44444444,2,12.5,5,2.375,666.4074881
373,24.44444444,2,12.5,5,3.25,662.6690047
374,24.44444444,2,12.5,5,4.125,660.0523687
375,24.44444444,2,12.5,5,5,662.8996773
376,24.44444444,2,12.5,6,1.5,637.1289901
377,24.44444444,2,12.5,6,2.375,628.6026331
378,24.44444444,2,12.5,6,3.25,625.963979
379,24.44444444,2,12.5,6,4.125,624.2504278
380,24.44444444,2,12.5,6,5,622.2878751
381,24.44444444,2,12.5,7,1.5,598.4564335
382,24.44444444,2,12.5,7,2.375,591.1183624
383,24.44444444,2,12.5,7,3.25,591.2285764
384,24.44444444,2,12.5,7,4.125,586.2425327
385,24.44444444,2,12.5,7,5,588.5476473
386,24.44444444,2,12.5,8,1.5,552.2758832
387,24.44444444,2,12.5,8,2.375,551.7295961
388,24.44444444,2,12.5,8,3.25,545.2084467
389,24.44444444,2,12.5,8,4.125,544.6362891
390,24.44444444,2,12.5,8,5,543.2416553
391,24.44444444,2,12.5,9,1.5,514.6901821
392,24.44444444,2,12.5,9,2.375,509.3196781
393,24.44444444,2,12.5,9,3.25,508.8519608
394,24.44444444,2,12.5,9,4.125,508.404696
395,24.44444444,2,12.5,9,5,509.5652728
396,24.44444444,2,12.5,10,1.5,484.9097567
397,24.44444444,2,12.5,10,2.375,477.6470724
398,24.44444444,2,12.5,10,3.25,477.0345268
399,24.44444444,2,12.5,10,4.125,475.0947843
400,24.44444444,2,12.5,10,5,474.3174124
401,24.44444444,2,15,1,1.5,953.7354601
402,24.44444444,2,15,1,2.375,940.6179726
403,24.44444444,2,15,1,3.25,932.4881695
404,24.44444444,2,15,1,4.125,922.3880723
405,24.44444444,2,15,1,5,924.7517287
406,24.44444444,2,15,2,1.5,880.4593277
407,24.44444444,2,15,2,2.375,869.5811774
408,24.44444444,2,15,2,3.25,861.9756717
409,24.44444444,2,15,2,4.125,853.2419541
410,24.44444444,2,15,2,5,852.1144205
411,24.44444444,2,15,3,1.5,812.1614742
412,24.44444444,2,15,3,2.375,801.7974095
413,24.44444444,2,15,3,3.25,790.2220681
414,24.44444444,2,15,3,4.125,789.0997105
415,24.44444444,2,15,3,5,787.2831334
416,24.44444444,2,15,4,1.5,746.3249384
417,24.44444444,2,15,4,2.375,737.3544838
418,24.44444444,2,15,4,3.25,726.9666948
419,24.44444444,2,15,4,4.125,724.0930071
420,24.44444444,2,15,4,5,729.2123827
421,24.44444444,2,15,5,1.5,688.7709687
422,24.44444444,2,15,5,2.375,680.1638301
423,24.44444444,2,15,5,3.25,676.6215921
424,24.44444444,2,15,5,4.125,674.7308302
425,24.44444444,2,15,5,5,669.3709647
426,24.44444444,2,15,6,1.5,652.2096363
427,24.44444444,2,15,6,2.375,640.4420797
428,24.44444444,2,15,6,3.25,642.3922664
429,24.44444444,2,15,6,4.125,640.6450024
430,24.44444444,2,15,6,5,638.4527685
431,24.44444444,2,15,7,1.5,607.4961157
432,24.44444444,2,15,7,2.375,601.4436741
433,24.44444444,2,15,7,3.25,599.6332238
434,24.44444444,2,15,7,4.125,597.1039567
435,24.44444444,2,15,7,5,599.212509
436,24.44444444,2,15,8,1.5,562.7153079
437,24.44444444,2,15,8,2.375,560.371336
438,24.44444444,2,15,8,3.25,555.1400095
439,24.44444444,2,15,8,4.125,556.5863097
440,24.44444444,2,15,8,5,556.0986714
441,24.44444444,2,15,9,1.5,525.9122884
442,24.44444444,2,15,9,2.375,516.5375739
443,24.44444444,2,15,9,3.25,514.2564102
444,24.44444444,2,15,9,4.125,515.7496453
445,24.44444444,2,15,9,5,514.886621
446,24.44444444,2,15,10,1.5,486.0448356
447,24.44444444,2,15,10,2.375,481.3732163
448,24.44444444,2,15,10,3.25,481.9627242
449,24.44444444,2,15,10,4.125,480.7029305
450,24.44444444,2,15,10,5,479.8852275
451,24.44444444,4,10,1,1.5,738.1983376
452,24.44444444,4,10,1,2.375,734.554518
453,24.44444444,4,10,1,3.25,732.4906457
454,24.44444444,4,10,1,4.125,731.4035889
455,24.44444444,4,10,1,5,730.5612447
456,24.44444444,4,10,2,1.5,687.4256207
457,24.44444444,4,10,2,2.375,682.2229321
458,24.44444444,4,10,2,3.25,678.3226509
459,24.44444444,4,10,2,4.125,677.1300816
460,24.44444444,4,10,2,5,679.5798562
461,24.44444444,4,10,3,1.5,629.3863284
462,24.44444444,4,10,3,2.375,623.6656037
463,24.44444444,4,10,3,3.25,623.6341834
464,24.44444444,4,10,3,4.125,621.645405
465,24.44444444,4,10,3,5,621.2275859
466,24.44444444,4,10,4,1.5,582.1443045
467,24.44444444,4,10,4,2.375,575.1178117
468,24.44444444,4,10,4,3.25,577.0098808
469,24.44444444,4,10,4,4.125,573.5504415
470,24.44444444,4,10,4,5,574.4083668
471,24.44444444,4,10,5,1.5,535.431283
472,24.44444444,4,10,5,2.375,532.4493116
473,24.44444444,4,10,5,3.25,531.3511895
474,24.44444444,4,10,5,4.125,531.7372454
475,24.44444444,4,10,5,5,531.3304523
476,24.44444444,4,10,6,1.5,508.5152966
477,24.44444444,4,10,6,2.375,506.7699444
478,24.44444444,4,10,6,3.25,505.9169564
479,24.44444444,4,10,6,4.125,502.5195272
480,24.44444444,4,10,6,5,503.3699948
481,24.44444444,4,10,7,1.5,479.6118078
482,24.44444444,4,10,7,2.375,478.2609507
483,24.44444444,4,10,7,3.25,473.3607538
484,24.44444444,4,10,7,4.125,477.2678037
485,24.44444444,4,10,7,5,473.6607257
486,24.44444444,4,10,8,1.5,446.1153613
487,24.44444444,4,10,8,2.375,444.5994382
488,24.44444444,4,10,8,3.25,444.9132873
489,24.44444444,4,10,8,4.125,440.9994845
490,24.44444444,4,10,8,5,440.7613362
491,24.44444444,4,10,9,1.5,414.452398
492,24.44444444,4,10,9,2.375,416.1701342
493,24.44444444,4,10,9,3.25,415.566368
494,24.44444444,4,10,9,4.125,415.3215142
495,24.44444444,4,10,9,5,415.1126913
496,24.44444444,4,10,10,1.5,390.7215255
497,24.44444444,4,10,10,2.375,389.2673891
498,24.44444444,4,10,10,3.25,388.7560403
499,24.44444444,4,10,10,4.125,390.0373932
500,24.44444444,4,10,10,5,389.8451377
501,24.44444444,4,12.5,1,1.5,741.3714172
502,24.44444444,4,12.5,1,2.375,735.0230425
503,24.44444444,4,12.5,1,3.25,731.9436546
504,24.44444444,4,12.5,1,4.125,730.1910908
505,24.44444444,4,12.5,1,5,730.8655842
506,24.44444444,4,12.5,2,1.5,677.6672314
507,24.44444444,4,12.5,2,2.375,678.7490581
508,24.44444444,4,12.5,2,3.25,678.4905777
509,24.44444444,4,12.5,2,4.125,672.1078704
510,24.44444444,4,12.5,2,5,671.561566
511,24.44444444,4,12.5,3,1.5,623.5998064
512,24.44444444,4,12.5,3,2.375,619.7650233
513,24.44444444,4,12.5,3,3.25,619.4587941
514,24.44444444,4,12.5,3,4.125,616.6598429
515,24.44444444,4,12.5,3,5,613.9313126
516,24.44444444,4,12.5,4,1.5,568.0574257
517,24.44444444,4,12.5,4,2.375,564.4308174
518,24.44444444,4,12.5,4,3.25,562.8240248
519,24.44444444,4,12.5,4,4.125,559.0850279
520,24.44444444,4,12.5,4,5,563.0937046
521,24.44444444,4,12.5,5,1.5,519.7078191
522,24.44444444,4,12.5,5,2.375,514.4082133
523,24.44444444,4,12.5,5,3.25,514.2232383
524,24.44444444,4,12.5,5,4.125,513.887662
525,24.44444444,4,12.5,5,5,513.4430321
526,24.44444444,4,12.5,6,1.5,490.87237
527,24.44444444,4,12.5,6,2.375,484.4615172
528,24.44444444,4,12.5,6,3.25,488.4289326
529,24.44444444,4,12.5,6,4.125,487.7754655
530,24.44444444,4,12.5,6,5,484.0426685
531,24.44444444,4,12.5,7,1.5,455.651782
532,24.44444444,4,12.5,7,2.375,457.7778351
533,24.44444444,4,12.5,7,3.25,456.9872632
534,24.44444444,4,12.5,7,4.125,456.3081981
535,24.44444444,4,12.5,7,5,453.3529123
536,24.44444444,4,12.5,8,1.5,417.0087977
537,24.44444444,4,12.5,8,2.375,419.2070448
538,24.44444444,4,12.5,8,3.25,418.9601491
539,24.44444444,4,12.5,8,4.125,414.5764234
540,24.44444444,4,12.5,8,5,414.1594167
541,24.44444444,4,12.5,9,1.5,386.264205
542,24.44444444,4,12.5,9,2.375,382.0849203
543,24.44444444,4,12.5,9,3.25,380.3959946
544,24.44444444,4,12.5,9,4.125,383.547133
545,24.44444444,4,12.5,9,5,380.6728457
546,24.44444444,4,12.5,10,1.5,356.4108606
547,24.44444444,4,12.5,10,2.375,355.1044298
548,24.44444444,4,12.5,10,3.25,354.4846002
549,24.44444444,4,12.5,10,4.125,351.057294
550,24.44444444,4,12.5,10,5,350.8340392
551,24.44444444,4,15,1,1.5,743.2906963
552,24.44444444,4,15,1,2.375,737.0620671
553,24.44444444,4,15,1,3.25,733.6346373
554,24.44444444,4,15,1,4.125,729.8703
555,24.44444444,4,15,1,5,730.0805143
556,24.44444444,4,15,2,1.5,687.5467804
557,24.44444444,4,15,2,2.375,687.2064931
558,24.44444444,4,15,2,3.25,680.0395881
559,24.44444444,4,15,2,4.125,679.1788935
560,24.44444444,4,15,2,5,681.4674178
561,24.44444444,4,15,3,1.5,639.9673976
562,24.44444444,4,15,3,2.375,638.9656859
563,24.44444444,4,15,3,3.25,632.581487
564,24.44444444,4,15,3,4.125,636.6387504
565,24.44444444,4,15,3,5,634.3128701
566,24.44444444,4,15,4,1.5,592.6369738
567,24.44444444,4,15,4,2.375,591.5097987
568,24.44444444,4,15,4,3.25,586.2183449
569,24.44444444,4,15,4,4.125,588.8884182
570,24.44444444,4,15,4,5,588.285568
571,24.44444444,4,15,5,1.5,548.1395643
572,24.44444444,4,15,5,2.375,541.94691
573,24.44444444,4,15,5,3.25,543.2372079
574,24.44444444,4,15,5,4.125,545.7201116
575,24.44444444,4,15,5,5,542.0837744
576,24.44444444,4,15,6,1.5,520.8527198
577,24.44444444,4,15,6,2.375,520.433194
578,24.44444444,4,15,6,3.25,522.3392822
579,24.44444444,4,15,6,4.125,521.6777207
580,24.44444444,4,15,6,5,515.8430394
581,24.44444444,4,15,7,1.5,485.2773116
582,24.44444444,4,15,7,2.375,488.8307875
583,24.44444444,4,15,7,3.25,487.4543773
584,24.44444444,4,15,7,4.125,481.4751797
585,24.44444444,4,15,7,5,487.0086774
586,24.44444444,4,15,8,1.5,444.6392507
587,24.44444444,4,15,8,2.375,442.9178381
588,24.44444444,4,15,8,3.25,442.4682453
589,24.44444444,4,15,8,4.125,445.9677752
590,24.44444444,4,15,8,5,441.1843726
591,24.44444444,4,15,9,1.5,408.2419543
592,24.44444444,4,15,9,2.375,406.3506794
593,24.44444444,4,15,9,3.25,405.6299371
594,24.44444444,4,15,9,4.125,405.1374031
595,24.44444444,4,15,9,5,404.7836912
596,24.44444444,4,15,10,1.5,376.2260704
597,24.44444444,4,15,10,2.375,376.3917067
598,24.44444444,4,15,10,3.25,373.6509403
599,24.44444444,4,15,10,4.125,377.3584589
600,24.44444444,4,15,10,5,377.0057637
601,28.88888889,2,10,1,1.5,964.7090956
602,28.88888889,2,10,1,2.375,950.4892962
603,28.88888889,2,10,1,3.25,943.2041045
604,28.88888889,2,10,1,4.125,938.8044904
605,28.88888889,2,10,1,5,934.0663789
606,28.88888889,2,10,2,1.5,891.4692391
607,28.88888889,2,10,2,2.375,875.3767428
608,28.88888889,2,10,2,3.25,873.0700231
609,28.88888889,2,10,2,4.125,871.3426529
610,28.88888889,2,10,2,5,869.211838
611,28.88888889,2,10,3,1.5,828.0121694
612,28.88888889,2,10,3,2.375,815.5632215
613,28.88888889,2,10,3,3.25,811.4132931
614,28.88888889,2,10,3,4.125,811.9431428
615,28.88888889,2,10,3,5,807.1626678
616,28.88888889,2,10,4,1.5,770.4833961
617,28.88888889,2,10,4,2.375,763.0286218
618,28.88888889,2,10,4,3.25,759.801649
619,28.88888889,2,10,4,4.125,758.1399335
620,28.88888889,2,10,4,5,751.7806136
621,28.88888889,2,10,5,1.5,731.4990958
622,28.88888889,2,10,5,2.375,725.2810834
623,28.88888889,2,10,5,3.25,720.0376807
624,28.88888889,2,10,5,4.125,720.7680173
625,28.88888889,2,10,5,5,716.2408114
626,28.88888889,2,10,6,1.5,693.8656613
